Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
HumanMoD: A multi-RAG collaborative LLM for inclusive urban public healthcare services,"Sun, S.; Zhong, Z.; Yu, N.; Gong, X.; Yang, K.","The integration of Large Language Models (LLMs) with healthcare systems offers transformative solutions for sustainable public health programs, especially in underserved urban and rural communities where access to professional medical expertise is limited. This paper introduces HumanMoD, a novel LLM framework designed to emulate collaborative clinical workflows of multi-expert medical doctors. Specifically, the proposed Mixture of Doctors module enables parallel diagnostic streams from diverse medical specialties, mimicking the collaborative decision-making of human doctors to ensure comprehensive assessments in resource-constrained environments. The Knowledge-driven Medical Assistant leverages domain-specific knowledge bases to mitigate LLM hallucinations, ensuring that recommendations are rooted in credible medical knowledge. Exquisitely, the Humanoid Health Conductor and LLM-powered Corrector further refine outputs to minimize diagnostic discrepancies, enhancing the reliability of responses for large-scale public health applications such as community health kiosks and mobile health apps serving remote or low-income areas. Unlike fine-tuned models, HumanMoD operates without parameter adjustment, enabling cost-effective deployment in regions with scarce computational resources, thus bridging the healthcare gap for socially vulnerable groups. Experimental results on MedQA and PubMedQA demonstrate that HumanMoD outperforms state-of-the-art models, highlighting its potential to drive equitable healthcare access and support data-driven public health policies in diverse urban and rural settings. © 2025",2025,,Applied Soft Computing,184,,,,10.1016/j.asoc.2025.113684,,#122,Sun 2025,"",MAS with LLM-driven role-playing agents; single LLM versus multi-agent framework
ColaCare: Enhancing Electronic Health Record Modeling through Large Language Model-Driven Multi-Agent Collaboration,"Wang, Z.; Zhu, Y.; Zhao, H.; Zheng, X.; Sui, D.; Wang, T.; Tang, W.; Wang, Y.; Harrison, E.; Pan, C.; Gao, J.; Ma, L.","We introduce ColaCare, a framework that enhances Electronic Health Record (EHR) modeling through multi-agent collaboration driven by Large Language Models (LLMs). Our approach seamlessly integrates domain-specific expert models with LLMs to bridge the gap between structured EHR data and text-based reasoning. Inspired by the Multidisciplinary Team (MDT) approach used in clinical settings, ColaCare employs two types of agents: DoctorAgents and a MetaAgent, which collaboratively analyze patient data. Expert models process and generate predictions from numerical EHR data, while LLM agents produce reasoning references and decision-making reports within the MDT-driven collaborative consultation framework. The MetaAgent orchestrates the discussion, facilitating consultations and evidence-based debates among DoctorAgents, simulating diverse expertise in clinical decision-making. We additionally incorporate the Merck Manual of Diagnosis and Therapy (MSD) medical guideline within a retrieval-augmented generation (RAG) module for medical evidence support, addressing the challenge of knowledge currency. Extensive experiments conducted on three EHR datasets demonstrate ColaCare’s superior performance in clinical mortality outcome and readmission prediction tasks, underscoring its potential to revolutionize clinical decision support systems and advance personalized precision medicine. © 2025 Copyright held by the owner/author(s).",2025,,WWW 2025 - Proceedings of the ACM Web Conference,,,2255-2261,,10.1145/3696410.3714877,,#124,Wang 2025,"",LLM-driven MAS in clinical decision support; MAS with LLM-driven role-playing agents
VoCare AI: A Multi-Agent LLM Workflow for Improved Clinic Operational Efficiency,"Han, D.L.J.; Ng, P.C.; Low, M.Y.H.","In Singapore's polyclinics, touch-based self-service kiosks are widely used for administrative functions such as appointment scheduling and billing. However, these systems pose accessibility challenges for elderly patients, often resulting in increased staff workload and longer wait times. This paper presents VoCare AI, a voice-first conversational assistant designed to streamline healthcare administrative tasks through multiagent workflows powered by Large Language Models (LLMs). The system integrates a graph-based orchestration framework (LangGraph) with specialized agents that manage NRIC-based identity verification, appointment handling, billing queries, and general FAQ responses. It features a fine-tuned Automatic Speech Recognition (ASR) model adapted for Singapore-accented English (Singlish), trained on the IMDA National Speech Corpus to handle accent variability, code-switching, and elderly speech patterns. Evaluation results show that the best-performing ASR model achieved a Word Error Rate (WER) of 22.22%, while the Retrieval-Augmented Generation (RAG) module demonstrated strong performance with 1.00 groundedness and 0.92 retrieval relevance. By focusing on Singapore's linguistic diversity and incorporating localized authentication mechanisms, this work demonstrates how AI-driven conversational agents can enhance accessibility and operational efficiency in public healthcare environments. The complete source code for this work is publicly available at: https://github.com/DerrickLJH2000/langgraph-voice-assistant. © 2025 IEEE.",2025,,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",,,1300-1304,,10.1109/TENCON66050.2025.11375163,,#125,Han 2025,"",Awaiting classification
MDAgents: An Adaptive Collaboration of LLMs for Medical Decision-Making,"Kim, Y.; Park, C.; Jeong, H.; Chan, Y.S.; Xu, X.; McDuff, D.; Lee, H.; Ghassemi, M.; Breazeal, C.; Park, H.W.","Foundation models are becoming valuable tools in medicine. Yet despite their promise, the best way to leverage Large Language Models (LLMs) in complex medical tasks remains an open question. We introduce a novel multi-agent framework, named Medical Decision-making Agents (MDAgents) that helps to address this gap by automatically assigning a collaboration structure to a team of LLMs. The assigned solo or group collaboration structure is tailored to the medical task at hand, a simple emulation inspired by the way real-world medical decision-making processes are adapted to tasks of different complexities. We evaluate our framework and baseline methods using state-of-the-art LLMs across a suite of real-world medical knowledge and medical diagnosis benchmarks, including a comparison of LLMs' medical complexity classification against human physicians2. MDAgents achieved the best performance in seven out of ten benchmarks on tasks requiring an understanding of medical knowledge and multi-modal reasoning, showing a significant improvement of up to 4.2% (p < 0.05) compared to previous methods' best performances. Ablation studies reveal that MDAgents effectively determines medical complexity to optimize for efficiency and accuracy across diverse medical tasks. Notably, the combination of moderator review and external medical knowledge in group collaboration resulted in an average accuracy improvement of 11.8%. Our code can be found at https://github.com/mitmedialab/MDAgents. © 2024 Neural information processing systems foundation. All rights reserved.",2024,,Advances in Neural Information Processing Systems,37,,,,,,#127,Kim 2024,"",LLM-driven MAS in clinical decision support; MAS with LLM-driven role-playing agents
"Structured Clinical Reasoning in AI: Comparing LLMs and Curated, Ontology-Grounded Multi-Agent Systems","Barbato, F.; Sorichetti, F.; Ielo, E.; Megliola, L.","In high-stakes domains like medicine, AI systems must do more than generate fluent responses—they must ensure that clinical reasoning is safe, auditable, and grounded in verified knowledge. This paper presents a comparative analysis of reasoning outputs produced by large language models and by curated, ontology-grounded AI systems. We use KaiMed—a hybrid multi-agent platform built on GPT-4o-mini and structured medical knowledge—as a representative of the latter approach. Unlike single-model pipelines, KaiMed decomposes reasoning into modular, role-specific agents specialized in diagnosis, treatment planning, literature validation, and safety filtering. Each agent operates over a semantically structured knowledge base, comprising a proprietary clinical ontology and two curated layers: a graph of clinical trials and a semantic retriever built on peer-reviewed literature. This architecture enables traceable, constraint-aware, and clinically aligned reasoning. Our hypothesis is that in medicine, the source, structure, and semantic integrity of knowledge are not technical details—they are prerequisites for reliability and trust. We evaluate both systems on complex prompts in two domains: Inflammatory Bowel Disease (IBD) and Chronic Rhinosinusitis with Nasal Polyps (CRSwNP). Results show that while GPT-4o-mini generates plausible responses, it lacks epistemic grounding and fails to surface non-obvious or investigational options. KaiMed, by contrast, consistently produces evidence-aligned, phenotype-specific recommendations—demonstrating that in Clinical AI, the key differentiator is not model size, but the structure and orchestration of knowledge. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",2026,,Lecture Notes in Computer Science,16362 LNCS,,280-285,,10.1007/978-3-032-12092-2_23,,#129,Barbato 2026,"",LLM-driven MAS in clinical decision support; single LLM versus multi-agent framework
MEDAGENTS: Large Language Models as Collaborators for Zero-shot Medical Reasoning,"Tang, X.; Zou, A.; Zhang, Z.; Li, Z.; Zhao, Y.; Zhang, X.; Cohan, A.; Gerstein, M.","Large language models (LLMs), despite their remarkable progress across various general domains, encounter significant barriers in medicine and healthcare. This field faces unique challenges such as domain-specific terminologies and reasoning over specialized knowledge. To address these issues, we propose MEDAGENTS, a novel multi-disciplinary collaboration framework for the medical domain. MedAgents leverages LLM-based agents in a role-playing setting that participate in a collaborative multi-round discussion, thereby enhancing LLM proficiency and reasoning capabilities. This training-free framework encompasses five critical steps: gathering domain experts, proposing individual analyses, summarising these analyses into a report, iterating over discussions until a consensus is reached, and ultimately making a decision. Our work focuses on the zero-shot setting, which is applicable in real-world scenarios. Experimental results on nine datasets (MedQA, MedMCQA, PubMedQA, and six subtasks from MMLU) establish that our proposed MEDAGENTS framework excels at mining and harnessing the medical expertise within LLMs, as well as extending its reasoning abilities. Our code can be found at https://github.com/gersteinlab/MedAgents. © 2024 Association for Computational Linguistics.",2024,,Proceedings of the Annual Meeting of the Association for Computational Linguistics,,,599-621,,10.18653/v1/2024.findings-acl.33,,#132,Tang 2024,"",MAS with LLM-driven role-playing agents; single LLM versus multi-agent framework
MEDAIDE: Information fusion and anatomy of medical intents via LLM-based agent collaboration,"Yang, D.; Wei, J.; Li, M.; Liu, J.; Liu, L.; Hu, M.; He, J.; Ju, Y.; Zhou, W.; Liu, Y.; Zhang, L.","In healthcare intelligence, the ability to fuse heterogeneous, multi-intent information from diverse clinical sources is fundamental to building reliable decision-making systems. Large Language Model (LLM)-driven information interaction systems currently showing potential promise in the healthcare domain. Nevertheless, they often suffer from information redundancy and coupling when dealing with complex medical intents, leading to severe hallucinations and performance bottlenecks. To this end, we propose MEDAIDE, an LLM-based medical multi-agent collaboration framework designed to enable intent-aware information fusion and coordinated reasoning across specialized healthcare domains. Specifically, we introduce a regularization-guided module that combines syntactic constraints with retrieval-augmented generation to decompose complex queries into structured representations, facilitating fine-grained clinical information fusion and intent resolution. Additionally, a dynamic intent prototype matching module is proposed to utilize dynamic prototype representation with a semantic similarity matching mechanism to achieve adaptive recognition and updating of the agent's intent in multi-round healthcare dialogues. Ultimately, we design a rotation agent collaboration mechanism that introduces dynamic role rotation and decision-level information fusion across specialized medical agents. Extensive experiments are conducted on four medical benchmarks with composite intents. Experimental results from automated metrics and expert doctor evaluations show that MEDAIDE outperforms current LLMs and improves their medical proficiency and strategic reasoning. © 2025 Elsevier B.V.",2026,,Information Fusion,127,,,,10.1016/j.inffus.2025.103743,,#136,Yang 2026,"",single LLM versus multi-agent framework
Magic: AN LLM-based multi-agent activated graph-reasoning intelligent collaboration model for liver disease diagnosis,"Liu, B.; Nie, Y.; Song, H.; Lin, Y.; Li, J.; Weng, X.; Su, Z.; Suo, Y.; Lv, T.; Zhao, X.; Yang, J.","Large language models (LLMs) perform well in general medical fields, but their effective application in complex liver disease diagnosis remains an open question. We propose an LLM-based Multi-agent Activated Graph-reasoning Intelligent Collaboration (MAGIC) model to address this challenge. MAGIC enhances liver disease knowledge through multi-scale analysis, including similar case studies, abnormal indicator identification, and knowledge graph analysis. During the simulated clinical progressive diagnostic process, the model adjusts key nodes and relationship weights in the graph reasoning using multi-agent debate results, improving pre-diagnosis accuracy. Meanwhile, the model verifies the pre-diagnosis results with guidelines to ensure their alignment with established clinical standards, ultimately generating reliable diagnostic results. Extensive experiments demonstrated that MAGIC achieved accuracy of 94.5 % on the dataset LiverQ&A from Beijing Friendship Hospital, 11.39 % improvement in F1 over the best LLM-based SOTA model. And MAGIC achieved 91.6 % accuracy on the multi-center validation dataset, which included data from Beijing You'an Hospital and China-Japan Friendship Hospital. Additionally, on the public dataset MedQA, our approach improved the accuracy of a closed-source model by 1.7 % to 6.8 %. © 2025",2026,,Information Fusion,126,,,,10.1016/j.inffus.2025.103557,,#139,Liu 2026,"An Do (2026-04-29 00:07:59)(Screen): multi-agent debate (MAD) is a specialized, functional form of multi-agent role-playing, where agents adopt specific personas—such as a critic and a synthesizer—to challenge assumptions and improve reasoning accuracy, factuality, and output diversity.; ",LLM-driven MAS in clinical decision support; MAS with LLM-driven role-playing agents
AI-Powered Automation in Healthcare: A Multi-agent Approach with LLM,"Almeida, M.; Machado, J.; Sousa, R.; Peixoto, H.","The healthcare sector is undergoing rapid transformation with the integration of Artificial Intelligence (AI), particularly Large Language Models (LLMs). These models, with their exceptional capabilities in natural language processing and generation, offer innovative solutions to address challenges in managing clinical workflows. Traditional Clinical Decision Support Systems often lack flexibility and struggle with real-time data integration, highlighting the need for more advanced approaches. This work proposes a clinical chatbot that leverages LLMs within a multi-agent framework to automate the prescription of medical exams and efficiently retrieve clinical data from patient records. Unlike diagnostic systems, the chatbot focuses on automating repetitive workflows, reducing clinician workload, and enhancing operational efficiency. The multi-agent architecture enables dynamic collaboration among specialized agents, while LLMs process natural language inputs, construct Fast Healthcare Interoperability Resources (FHIR) and Structured Query Language (SQL) queries, and generate actionable responses in real-time. This research underscores the transformative potential of LLMs, demonstrating their ability to streamline clinical workflows and improve resource management in healthcare environments. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",2025,,Communications in Computer and Information Science,2644 CCIS,,132-143,,10.1007/978-3-032-05925-3_11,,#142,Almeida 2025,"",LLM-driven MAS in clinical decision support
TRIAGEAGENT: Towards Better Multi-Agents Collaborations for Large Language Model-Based Clinical Triage,"Lu, M.; Ho, B.; Ren, D.; Wang, X.","The global escalation in emergency department patient visits poses significant challenges to efficient clinical management, particularly in clinical triage. Traditionally managed by human professionals, clinical triage is susceptible to substantial variability and high workloads. Although large language models (LLMs) demonstrate promising reasoning and understanding capabilities, directly applying them to clinical triage remains challenging due to the complex and dynamic nature of the clinical triage task. To address these issues, we introduce TRIAGEAGENT, a novel heterogeneous multi-agent framework designed to enhance collaborative decision-making in clinical triage. TRIAGEAGENT leverages LLMs for role-playing, incorporating self-confidence and early-stopping mechanisms in multi-round discussions to improve document reasoning and classification precision for triage tasks. In addition, TRIAGEAGENT employs the medical Emergency Severity Index (ESI) handbook through a retrieval-augmented generation (RAG) approach to provide precise clinical knowledge and integrates both coarse- and fine-grained ESI-level predictions in the decision-making process. Extensive experiments demonstrate that TRIAGEAGENT outperforms state-of-the-art LLM-based methods on three clinical triage test sets. Furthermore, we have released the first public benchmark dataset for clinical triage with corresponding ESI levels and human expert performance for comparison. Our dataset and code can be found at https://github.com/Lucanyc/TriageAgent. © 2024 Association for Computational Linguistics.",2024,,"EMNLP 2024 - 2024 Conference on Empirical Methods in Natural Language Processing, Findings of EMNLP 2024",,,5747-5764,,10.18653/v1/2024.findings-emnlp.329,,#155,Lu 2024,"",MAS with LLM-driven role-playing agents; single LLM versus multi-agent framework
An LLM-Driven Multi-Agent Simulation Framework for Coupled Epidemic–Economic Dynamics,"Wang, S.; Liu, H.; Zhang, S.; Yang, Q.","Traditional Agent-based Models (ABMs) often struggle to capture the nuance of adaptive human decision-making during complex crises due to their reliance on static, predefined rules. Large Language Models (LLMs) offer a transformative solution by acting as cognitive engines that empower agents with human-like common-sense reasoning. In this paper, we introduce an LLM-driven Multi-Agent Simulation framework to investigate coupled epidemic–economic dynamics, incorporating a Perception-Deliberation-Action (PDA) loop. Agents, acting as heterogeneous cognitive entities, utilize Chain-of-Thought processes to autonomously balance health risks against economic necessities. This approach endogenously generates adaptive behaviors without explicit scripting. Extensive experiment results across diverse LLM backends confirm the framework’s robustness, revealing divergent socio-economic trajectories under distinct macroscopic conditions and effectively quantifying the trade-offs between public health and economic stability. This approach establishes a high-fidelity computational laboratory for investigating complex scenarios under distinct macroscopic conditions, effectively bridging the gap between micro-level cognition and macro-level societal outcomes. © 2026 by the authors.",2026,,Information (Switzerland),17,3,,,10.3390/info17030259,,#171,Wang 2026,"",MAS with LLM-driven role-playing agents
Privacy-Preserving Healthcare Data Interactions: A Multi-Agent Approach Using LLMs,"De Maio, C.; Fenza, G.; Furno, D.; Grauso, T.; Loia, V.","Integrating Electronic Health Records (EHRs) into clinical workflows is crucial for advancing healthcare delivery but poses significant challenges, especially in improving human-machine interactions through natural language queries. This study builds on prior research [1] by introducing a multi-agent system that uses Large Language Models (LLMs) for secure interactions with healthcare data. In this extended work, we present a new capability for real-time updates to patient records through the addition of a Data Update Agent (DUA), ensuring privacy, accuracy, and compliance with regulatory standards. Compared to prior work, the system features a dual-pathway design for distinguishing between data retrieval and updates, enhanced modularity for seamless agent upgrades, and robust mechanisms to manage complex scenarios and noisy inputs. These advancements improve scalability, fault tolerance, and adaptability to real-world clinical environments. Comprehensive evaluations have been conducted using diverse clinical scenarios, including tests with noisy inputs and complex queries. The results highlight the system’s scalability, accuracy, and prac-ticality, demonstrating its superiority over baseline methods. The proposed framework enables better integration of LLMs in clinical settings by bridging natural language interfaces with secure, interoperable healthcare data systems. © 2025 CCIS.",2025,,Journal of Communications Software and Systems,21,1,13-22,,10.24138/jcomss-2024-0119,,#176,DeMaio 2025,"",Awaiting classification
Collaboration among Multiple Large Language Models for Medical Question Answering,"Shang, K.; Chang, C.-H.; Yang, C.C.","Empowered by vast internal knowledge reservoir, the new generation of large language models (LLMs) demonstrate untapped potential to tackle medical tasks. However, there is insufficient effort made towards summoning up a synergic effect from multiple LLMs' expertise and background. In this study, we propose a multi-LLM collaboration framework tailored on a medical multiple-choice questions dataset. Through post-hoc analysis on 3 pre-trained LLM participants, our framework is proved to boost all LLMs reasoning ability as well as alleviate their divergence among questions. We also measure an LLM's confidence when it confronts with adversary opinions from other LLMs and observe a concurrence between LLM's confidence and prediction accuracy. © 2025 IEEE.",2025,,"Proceedings - 2025 IEEE 13th International Conference on Healthcare Informatics, ICHI 2025",,,388-396,,10.1109/ICHI64645.2025.00052,,#179,Shang 2025,"",MAS with LLM-driven role-playing agents
Multi-Agent RAG Framework for Entity Resolution: Advancing Beyond Single-LLM Approaches with Specialized Agent Coordination,"Althaf, A.M.; Mohammed, M.A.; Milanova, M.; Talburt, J.; Cakmak, M.C.","Entity resolution in real-world datasets remains a persistent challenge, particularly for identifying households and detecting co-residence patterns within noisy and incomplete data. While Large Language Models (LLMs) show promise, monolithic approaches often suffer from limited scalability and interpretability. This study introduces a multi-agent Retrieval-Augmented Generation (RAG) framework that decomposes household entity resolution into coordinated, task-specialized agents implemented using LangGraph. The system includes four agents responsible for direct matching, transitive linkage, household clustering, and residential movement detection, combining rule-based preprocessing with LLM-guided reasoning. Evaluation on synthetic S12PX dataset segments containing 200–300 records demonstrates 94.3% accuracy on name variation matching and a 61% reduction in API calls compared to single-LLM baselines, while maintaining transparent and traceable decision processes. These results indicate that coordinated multi-agent specialization improves efficiency and interpretability, providing a structured and extensible approach for entity resolution in census, healthcare, and other administrative data domains. © 2025 by the authors.",2025,,Computers,14,12,,,10.3390/computers14120525,,#184,Althaf 2025,"",""
An Adaptive Multi-Agent LLM-Based Clinical Decision Support System Integrating Biomedical RAG and Web Intelligence,"Öğdü, C.U.; Arslanoğlu, K.; Karaköse, M.","Increasing data complexity in clinical decision-making processes hinders physicians’ ability to make rapid and accurate decisions. This study proposes an innovative solution to this problem by designing a multi-layered, adaptive Clinical Decision Support System (CDSS) comprising interacting large language model (LLM) agents. The proposed system performs semantic-level information retrieval using a BioBERT-based vector database, enhances information retrieval by accessing up-to-date medical resources via the web, and restructures outputs by activating an adaptive optimization loop in low-confidence situations. Through the structuring of clinical texts, cross-validation of symptom analyses with literature and internet sources, and collaborative data fusion among agents, the system integrates multi-source data and produces consistent decisions. In experiments conducted on the MedQA, PubMedQA, and MedBullets datasets, the system achieved accuracies of 94%, 88%, and 84%, respectively, representing substantial improvements over state-of-the-art methods and demonstrating the significance of the proposed architecture for clinical decision-making reliability. This framework is not merely an information retrieval engine; it is a clinical intelligence partner designed to learn, actively contribute to the decision process, and focus on reliability. In contrast to current CDSS protocols, which frequently depend on static modules or single-agent models, our architecture tackles some of the shortcomings in timeliness, multi-source evidence fusion, and confidence calibration. This originality enables the system to be a next-generation clinical intelligence partner by enabling an unprecedented level of transparency, customizability, and adaptability in real-world decision-making processes. © 2013 IEEE.",2025,,IEEE Access,13,,167390-167404,,10.1109/ACCESS.2025.3613340,,#192,Öğdü 2025,"",LLM-driven MAS in clinical decision support
AI Hospital: Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator,"Fan, Z.; Wei, L.; Tang, J.; Chen, W.; Wang, S.; Wei, Z.; Xie, J.; Huang, F.; Zhou, J.","Artificial intelligence has significantly revolutionized healthcare, particularly through large language models (LLMs) that demonstrate superior performance in static medical question answering benchmarks. However, evaluating the potential of LLMs for real-world clinical applications remains challenging due to the intricate nature of doctor-patient interactions. To address this, we introduce AI Hospital, a multi-agent framework emulating dynamic medical interactions between Doctor as player and NPCs including Patient and Examiner. This setup allows for more practical assessments of LLMs in simulated clinical scenarios. We develop the Multi-View Medical Evaluation (MVME) benchmark, utilizing high-quality Chinese medical records and multiple evaluation strategies to quantify the performance of LLM-driven Doctor agents on symptom collection, examination recommendations, and diagnoses. Additionally, a dispute resolution collaborative mechanism is proposed to enhance medical interaction capabilities through iterative discussions. Despite improvements, current LLMs (including GPT-4) still exhibit significant performance gaps in multi-turn interactive scenarios compared to non-interactive scenarios. Our findings highlight the need for further research to bridge these gaps and improve LLMs' clinical decision-making capabilities. Our data, code, and experimental results are all open-sourced at https://github.com/LibertFan/AI_Hospital. © 2025 Association for Computational Linguistics.",2025,,"Proceedings - International Conference on Computational Linguistics, COLING",,,10183-10213,,,,#208,Fan 2025,"",MAS with LLM-driven role-playing agents; single LLM versus multi-agent framework
Exploring Multi-LLM Collaboration to Power Conversational Recommender System: A Case Study of Dietary Recommendation,"Liang, M.; Luo, Y.","Conversational recommender systems (CRS) are promising in delivering personalized recommendations by engaging users to share rich information about themselves, particularly in dietary recommendation, where various factors (e.g., food preferences, eating habits) needs to be considered. However, maintaining a coherent conversation for information collection and recommending healthy dishes tailored to different users remains challenging, even with the emerging large language models (LLMs). In this study, we explore multi-LLM collaboration—where multiple LLMs specialize in subtasks of a complex problem—to enhance a dietary CRS. Through an online experiment (N = 161), we compared multi-LLM collaboration with its single-LLM counterpart during the conversation and recommendation phases, evaluating system performance and participants’ experiences. We found multi-LLM collaboration equipped the conversation manager with greater adaptability to the conversation contexts, while powering the recommendation engine to deliver more nutritionally balanced and wide-range recommendations. Our discussion then focuses on the implications for designing user-centered CRS with LLMs. © 2025 Copyright held by the owner/author(s).",2025,,CUI 2025 - Proceedings of the 2025 ACM Conference on Conversational User Interfaces,,,,,10.1145/3719160.3737635,,#217,Liang 2025,"",single LLM versus multi-agent framework
Trustworthy AI Psychotherapy: Multi-Agent LLM Workflow for Counseling and Explainable Mental Disorder Diagnosis,"Ozgun, M.C.; Pei, J.; Hindriks, K.; Donatelli, L.; Liu, Q.; Wang, J.","LLM-based agents have emerged as transformative tools capable of executing complex tasks through iterative planning and action, achieving significant advancements in understanding and addressing user needs. Yet, their effectiveness remains limited in specialized domains such as mental health diagnosis, where they underperform compared to general applications. Current approaches to integrating diagnostic capabilities into LLMs rely on scarce, highly sensitive mental health datasets, which are challenging to acquire. These methods also fail to emulate clinicians' proactive inquiry skills, lack multi-turn conversational comprehension, and struggle to align outputs with expert clinical reasoning. To address these gaps, we propose DSM5AgentFlow, the first LLM-based agent workflow designed to autonomously generate DSM-5 Level-1 diagnostic questionnaires. By simulating therapist-client dialogues with specific client profiles, the framework delivers transparent, step-by-step disorder predictions, producing explainable and trustworthy results. This workflow serves as a complementary tool for mental health diagnosis, ensuring adherence to ethical and legal standards. Through comprehensive experiments, we evaluate leading LLMs across three critical dimensions: conversational realism, diagnostic accuracy, and explainability. Our datasets and implementations are fully open-sourced.  © 2025 Copyright held by the owner/author(s).",2025,,CIKM 2025 - Proceedings of the 34th ACM International Conference on Information and Knowledge Management,,,2263-2272,,10.1145/3746252.3761164,,#224,Ozgun 2025,"",LLM-driven MAS in clinical decision support; MAS with LLM-driven role-playing agents
Development of a Large Language Model-based Multi-Agent Clinical Decision Support System for Korean Triage and Acuity Scale (KTAS)-Based Triage and Treatment Planning in Emergency Departments,"Han, S.; Choi, W.","Emergency department (ED) overcrowding and the complexity of rapid decision-making in critical care settings pose significant challenges to healthcare systems worldwide. While clinical decision support systems (CDSS) have shown promise, the integration of large language models (LLMs) offers new possibilities for enhancing triage accuracy and clinical decision-making. This study presents an LLM-driven CDSS designed to assist ED physicians and nurses in patient triage, treatment planning, and overall emergency care management. We developed a multi-agent CDSS utilizing Llama-3-70b as the base LLM, orchestrated by CrewAI and Langchain. The system comprises four AI agents emulating key ED roles: Triage Nurse, Emergency Physician, Pharmacist, and ED Coordinator. It incorporates the Korean Triage and Acuity Scale (KTAS) for triage assessment and integrates with the RxNorm API for medication management. The model was evaluated using the Asclepius dataset, with performance assessed by a clinical emergency medicine specialist. The CDSS demonstrated high accuracy in triage decision-making compared to the baseline of a single-agent system. Furthermore, the system exhibited strong performance in critical areas, including primary diagnosis, critical findings identifi-cation, disposition decision-making, treatment planning, and resource allocation. Our multi-agent CDSS demonstrates significant potential for supporting comprehensive emergency care management. By leveraging state-of-the-art AI technologies, this system offers a scalable and adaptable tool that could enhance emergency medical care delivery, potentially alleviating ED overcrowding and improving patient outcomes. This work contributes to the growing field of AI applications in emergency medicine and offers a promising direction for future research and clinical implementation. © 2025 Seungjun Han and Wongyung Choi.",2025,,Advances in Artificial Intelligence and Machine Learning,5,1,3261-3275,,10.54364/AAIML.2025.51187,,#226,Han 2025,"",LLM-driven MAS in clinical decision support; MAS with LLM-driven role-playing agents
KERAP: A Knowledge-Enhanced Reasoning Approach for Accurate Zero-shot Diagnosis Prediction Using Multi-agent LLMs,"Xie, Y.; Cui, H.; Zhang, Z.; Lu, J.; Shu, K.; Nahab, F.; Hu, X.; Yang, C.","Medical diagnosis prediction plays a critical role in disease detection and personalized healthcare. While machine learning (ML) models have been widely adopted for this task, their reliance on supervised training limits their ability to generalize to unseen cases, particularly given the high cost of acquiring large, labeled datasets. Large language models (LLMs) have shown promise in leveraging language abilities and biomedical knowledge for diagnosis prediction. However, they often suffer from hallucinations, lack structured medical reasoning, and produce useless outputs. To address these challenges, we propose KERAP, a knowledge graph (KG)-enhanced reasoning approach that improves LLM-based diagnosis prediction through a multi-agent architecture. Our framework consists of a linkage agent for attribute mapping, a retrieval agent for structured knowledge extraction, and a prediction agent that iteratively refines diagnosis predictions. Experimental results demonstrate that KERAP enhances diagnostic reliability efficiently, offering a scalable and interpretable solution for zero-shot medical diagnosis prediction. ©2024 AMIA - All rights reserved.",2024,,AMIA ... Annual Symposium proceedings. AMIA Symposium,2024,,1394-1403,,,,#238,Xie 2024,"",LLM-driven MAS in clinical decision support
ATCMD-Bench: Agentic Traditional Chinese Medicine diagnosis benchmark for Large Language Models via multi-agent simulation,"Lin, J.; Dai, G.; Peng, W.; Huang, S.; Lao, Y.; Zhang, H.; Chen, T.","As Large Language Models (LLMs) become more incorporated into Traditional Chinese Medicine (TCM) practice, it is essential to rigorously quantify their clinical diagnostic performance. However, current evaluation benchmarks primarily focus on tasks such as TCM knowledge examination or syndrome classification, lacking systematic assessment of LLMs’ performance in real-world clinical diagnostic settings. To address the absence of a standardized benchmark, we introduce ATCMD-Bench, an agentic benchmark for TCM clinical diagnosis evaluation that unifies a dynamic diagnostic environment, a consistent dataset, and well-defined metrics, enabling a comprehensive assessment of both the diagnostic process and the final results. Specifically, to capture the dynamic interactions and syndrome differentiation inherent in TCM diagnosis, we simulate a TCM diagnostic environment built upon a multi-agent framework, which defines agent behaviors and then allocates clinical information to drive an interactive TCM diagnostic process. Furthermore, we develop TCMD-Eval, a dataset of real-world TCM clinical cases compiled in collaboration with TCM specialists from authoritative literature to address the scarcity of data for simulated TCM diagnostic environment evaluation, and pair it with the designed scoring metrics to quantify performance fairly and reliably. Finally, we apply ATCMD-Bench to conduct a systematic evaluation of the most cutting-edge LLMs, revealing their limitations in clinical interaction and accurate syndrome reasoning, thereby providing a strong foundation for future research to advance LLMs’ TCM diagnostic capabilities. © 2026",2026,,Pattern Recognition,179,,,,10.1016/j.patcog.2026.113679,,#244,Lin 2026,"",Awaiting classification
